"player_name","season","draft_year","status"
Peyton Watson,"2022-23","2022",Rookie
Patrick Baldwin,"2022-23","2022",Rookie
Paolo Banchero,"2022-23","2022",Rookie
Ryan Rollins,"2022-23","2022",Rookie
Moussa Diabate,"2022-23","2022",Rookie
Ousmane Dieng,"2022-23","2022",Rookie
Ochai Agbaji,"2022-23","2022",Rookie
Nikola Jovic,"2022-23","2022",Rookie
Tyrese Martin,"2022-23","2022",Rookie
TyTy Washington Jr.,"2022-23","2022",Rookie
Trevor Keels,"2022-23","2022",Rookie
Vince Williams Jr.,"2022-23","2022",Rookie
Wendell Moore Jr.,"2022-23","2022",Rookie
Walker Kessler,"2022-23","2022",Rookie
Shaedon Sharpe,"2022-23","2022",Rookie
Tari Eason,"2022-23","2022",Rookie
David Roddy,"2022-23","2022",Rookie
Dyson Daniels,"2022-23","2022",Rookie
Bennedict Mathurin,"2022-23","2022",Rookie
Blake Wesley,"2022-23","2022",Rookie
AJ Griffin,"2022-23","2022",Rookie
Andrew Nembhard,"2022-23","2022",Rookie
Christian Braun,"2022-23","2022",Rookie
Christian Koloko,"2022-23","2022",Rookie
Dalen Terry,"2022-23","2022",Rookie
Bryce McGowens,"2022-23","2022",Rookie
Caleb Houstan,"2022-23","2022",Rookie
Isaiah Mobley,"2022-23","2022",Rookie
Kennedy Chandler,"2022-23","2022",Rookie
Keegan Murray,"2022-23","2022",Rookie
Kendall Brown,"2022-23","2022",Rookie
MarJon Beauchamp,"2022-23","2022",Rookie
Mark Williams,"2022-23","2022",Rookie
Max Christie,"2022-23","2022",Rookie
Malaki Branham,"2022-23","2022",Rookie
Jalen Williams,"2022-23","2022",Rookie
Jalen Duren,"2022-23","2022",Rookie
JD Davison,"2022-23","2022",Rookie
Jabari Smith Jr.,"2022-23","2022",Rookie
Jabari Walker,"2022-23","2022",Rookie
Jaden Hardy,"2022-23","2022",Rookie
Jaden Ivey,"2022-23","2022",Rookie
Jake LaRavia,"2022-23","2022",Rookie
Josh Minott,"2022-23","2022",Rookie
Johnny Davis,"2022-23","2022",Rookie
Jaylin Williams,"2022-23","2022",Rookie
Jeremy Sochan,"2022-23","2022",Rookie
Quentin Grimes,"2022-23","2021",Veteran
Pat Connaughton,"2022-23","2015",Veteran
RJ Barrett,"2022-23","2019",Veteran
Precious Achiuwa,"2022-23","2020",Veteran
RaiQuan Gray,"2022-23","2021",Veteran
R.J. Hampton,"2022-23","2020",Veteran
Patrick Beverley,"2022-23","2009",Veteran
Paul Reed,"2022-23","2020",Veteran
Paul George,"2022-23","2010",Veteran
Patty Mills,"2022-23","2009",Veteran
Pascal Siakam,"2022-23","2016",Veteran
Patrick Williams,"2022-23","2020",Veteran
Raul Neto,"2022-23","2013",Veteran
Payton Pritchard,"2022-23","2020",Veteran
Reggie Bullock,"2022-23","2013",Veteran
Russell Westbrook,"2022-23","2008",Veteran
Richaun Holmes,"2022-23","2015",Veteran
Saddiq Bey,"2022-23","2020",Veteran
Saben Lee,"2022-23","2020",Veteran
Rui Hachimura,"2022-23","2019",Veteran
Rudy Gobert,"2022-23","2013",Veteran
Rudy Gay,"2022-23","2006",Veteran
Romeo Langford,"2022-23","2019",Veteran
Robin Lopez,"2022-23","2008",Veteran
Robert Williams III,"2022-23","2018",Veteran
Ricky Rubio,"2022-23","2009",Veteran
Reggie Jackson,"2022-23","2011",Veteran
Montrezl Harrell,"2022-23","2015",Veteran
P.J. Tucker,"2022-23","2006",Veteran
Nassir Little,"2022-23","2019",Veteran
Myles Turner,"2022-23","2015",Veteran
Moses Moody,"2022-23","2021",Veteran
Moritz Wagner,"2022-23","2018",Veteran
Monte Morris,"2022-23","2017",Veteran
Mo Bamba,"2022-23","2018",Veteran
Mitchell Robinson,"2022-23","2018",Veteran
Miles McBride,"2022-23","2021",Veteran
Mike Muscala,"2022-23","2013",Veteran
Mike Conley,"2022-23","2007",Veteran
Sam Merrill,"2022-23","2020",Veteran
Mikal Bridges,"2022-23","2018",Veteran
Neemias Queta,"2022-23","2021",Veteran
P.J. Washington,"2022-23","2019",Veteran
Nerlens Noel,"2022-23","2013",Veteran
Nick Richards,"2022-23","2020",Veteran
Otto Porter Jr.,"2022-23","2013",Veteran
Onyeka Okongwu,"2022-23","2020",Veteran
Obi Toppin,"2022-23","2020",Veteran
O.G. Anunoby,"2022-23","2017",Veteran
Norman Powell,"2022-23","2015",Veteran
Noah Vonleh,"2022-23","2014",Veteran
Nikola Vucevic,"2022-23","2011",Veteran
Nikola Jokic,"2022-23","2014",Veteran
Nicolas Batum,"2022-23","2008",Veteran
Nickeil Alexander-Walker,"2022-23","2019",Veteran
Nic Claxton,"2022-23","2019",Veteran
Sandro Mamukelashvili,"2022-23","2021",Veteran
Scottie Barnes,"2022-23","2021",Veteran
Vernon Carey Jr.,"2022-23","2020",Veteran
Usman Garuba,"2022-23","2021",Veteran
Udoka Azubuike,"2022-23","2020",Veteran
Tyus Jones,"2022-23","2015",Veteran
Tyrese Maxey,"2022-23","2020",Veteran
Tyrese Haliburton,"2022-23","2020",Veteran
Tyler Herro,"2022-23","2019",Veteran
Tyler Dorsey,"2022-23","2017",Veteran
Ty Jerome,"2022-23","2019",Veteran
Troy Brown Jr.,"2022-23","2018",Veteran
Trey Murphy III,"2022-23","2021",Veteran
Trey Lyles,"2022-23","2015",Veteran
Victor Oladipo,"2022-23","2013",Veteran
Vlatko Cancar,"2022-23","2017",Veteran
Michael Porter Jr.,"2022-23","2018",Veteran
Zion Williamson,"2022-23","2019",Veteran
Ziaire Williams,"2022-23","2021",Veteran
Zeke Nnaji,"2022-23","2020",Veteran
Zach LaVine,"2022-23","2014",Veteran
Zach Collins,"2022-23","2017",Veteran
Xavier Tillman,"2022-23","2020",Veteran
Willy Hernangomez,"2022-23","2015",Veteran
Will Barton,"2022-23","2012",Veteran
Wendell Carter Jr.,"2022-23","2018",Veteran
Vit Krejci,"2022-23","2020",Veteran
Santi Aldama,"2022-23","2021",Veteran
Tre Mann,"2022-23","2021",Veteran
T.J. McConnell,"2022-23","2015",Veteran
Svi Mykhailiuk,"2022-23","2018",Veteran
Steven Adams,"2022-23","2013",Veteran
Sterling Brown,"2022-23","2017",Veteran
Stephen Curry,"2022-23","2009",Veteran
Stanley Johnson,"2022-23","2015",Veteran
Spencer Dinwiddie,"2022-23","2014",Veteran
Skylar Mays,"2022-23","2020",Veteran
