"player_name","current_season","previous_season","previous_pts","current_pts","pts_increase"
CJ McCollum,"2015-16","2014-15",6.8,20.8,14.0
Devonte' Graham,"2019-20","2018-19",4.7,18.2,13.5
Zach Randolph,"2003-04","2002-03",8.4,20.1,11.7
Jason Terry,"2000-01","1999-00",8.1,19.7,11.6
Tracy McGrady,"2000-01","1999-00",15.4,26.8,11.4
Lauri Markkanen,"2022-23","2021-22",14.8,25.6,10.8
Trae Young,"2019-20","2018-19",19.1,29.6,10.5
Dan Dickau,"2004-05","2003-04",2.2,12.5,10.3
Jerami Grant,"2020-21","2019-20",12.0,22.3,10.3
Antawn Jamison,"1999-00","1998-99",9.6,19.6,10.0
