"season","player_name","pts","gp","usage_rate","shooting_efficiency"
"2022-23",Kevin Durant,29.1,47,0.305,0.677
"2015-16",Stephen Curry,30.1,79,0.32,0.669
"2021-22",Nikola Jokic,27.1,74,0.309,0.6609999999999999
"2020-21",Stephen Curry,32.0,63,0.331,0.655
"2022-23",Joel Embiid,33.1,66,0.37,0.655
"2013-14",LeBron James,27.1,77,0.309,0.649
"2022-23",Damian Lillard,32.2,58,0.331,0.645
"2018-19",Giannis Antetokounmpo,27.7,72,0.314,0.644
"2020-21",Joel Embiid,28.5,51,0.35200000000000004,0.636
"2013-14",Kevin Durant,32.0,81,0.327,0.635
"2015-16",Kevin Durant,28.2,72,0.305,0.634
"2020-21",Zach LaVine,27.4,58,0.302,0.634
"2021-22",Kevin Durant,29.9,55,0.31,0.634
"2020-21",Giannis Antetokounmpo,28.1,61,0.32,0.633
"2021-22",Giannis Antetokounmpo,29.9,67,0.34,0.633
"2019-20",James Harden,34.3,68,0.35600000000000004,0.626
"2022-23",Shai Gilgeous-Alexander,31.4,68,0.318,0.626
"2016-17",Isaiah Thomas,28.9,76,0.337,0.625
"2020-21",Damian Lillard,28.8,67,0.306,0.623
"2017-18",LeBron James,27.5,82,0.31,0.621
"2017-18",James Harden,30.4,72,0.353,0.619
"2021-22",LeBron James,30.3,56,0.317,0.619
"2018-19",James Harden,36.1,78,0.396,0.616
"2021-22",Joel Embiid,30.6,68,0.375,0.616
"2022-23",Donovan Mitchell,28.3,68,0.31,0.614
"2016-17",James Harden,29.1,81,0.341,0.613
"2019-20",Giannis Antetokounmpo,29.5,63,0.363,0.613
"2011-12",Kevin Durant,28.0,66,0.308,0.61
"2016-17",Kawhi Leonard,25.5,74,0.312,0.61
"2022-23",Luka Doncic,32.4,66,0.368,0.609
"2009-10",Kevin Durant,30.1,82,0.317,0.607
"2022-23",Jayson Tatum,30.1,74,0.319,0.607
"2011-12",LeBron James,27.1,62,0.317,0.605
"2014-15",James Harden,27.4,81,0.313,0.605
"2022-23",Giannis Antetokounmpo,31.1,63,0.373,0.605
"2009-10",LeBron James,29.7,76,0.33299999999999996,0.604
"2021-22",Trae Young,28.4,76,0.33299999999999996,0.603
"2002-03",Shaquille O'Neal,27.5,67,0.303,0.602
"2020-21",LeBron James,25.0,45,0.31,0.602
"2006-07",Yao Ming,25.0,48,0.331,0.601
"2022-23",Devin Booker,27.8,53,0.311,0.601
